Brand,Product Name,Color,Dimensions,Weight
Samsonite,Outline Pro Carry-On Spinner,Midnight Blue,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Outline Pro Carry-On Spinner,Emerald Green,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Outline Pro Carry-On Spinner,Midnight Black,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Outline Pro Carry-On Spinner,Mars Red,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Outline Pro Carry-On Spinner,Stone Grey,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,Chili Red,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,Black,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,Blue,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,White,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,Blue,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Freeform Carry-On Spinner,White/Grey,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Freeform Carry-On Spinner,Navy,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Freeform Carry-On Spinner,Sky Blue,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Freeform Carry-On Spinner,Black,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Freeform Carry-On Spinner,White,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Outline Pro Carry-On Spinner,Midnight Blue,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Outline Pro Carry-On Spinner,Emerald Green,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Outline Pro Carry-On Spinner,Midnight Black,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Outline Pro Carry-On Spinner,Mars Red,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Outline Pro Carry-On Spinner,Stone Grey,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,Chili Red,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,Black,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,Blue,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,White,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,Blue,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Freeform Carry-On Spinner,White/Grey,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Freeform Carry-On Spinner,Navy,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Freeform Carry-On Spinner,Sky Blue,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Freeform Carry-On Spinner,Black,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Freeform Carry-On Spinner,White,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Freeform Carry-On Spinner,Amethyst Purple,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Outline Pro Global Carry-On Spinner,Midnight Black,20in H x 13.8in L x 9in W,6.1 lbs
Samsonite,Outline Pro Global Carry-On Spinner,Midnight Black,20in H x 13.8in L x 9in W,6.1 lbs
Samsonite,Outline Pro Global Carry-On Spinner,Midnight Black,20in H x 13.8in L x 9in W,6.1 lbs
Samsonite,Outline Pro Global Carry-On Spinner,Midnight Black,20in H x 13.8in L x 9in W,6.1 lbs
Samsonite,Outline Pro Global Carry-On Spinner,Midnight Black,20in H x 13.8in L x 9in W,6.1 lbs
Samsonite,Novaire Carry-On Spinner,Rose Gold,19.8in H x 14.8in L x 9in W,7.2 lbs
Samsonite,Novaire Carry-On Spinner,Silver,19.8in H x 14.8in L x 9in W,7.2 lbs
Samsonite,Novaire Carry-On Spinner,Black,19.8in H x 14.8in L x 9in W,7.2 lbs
Samsonite,Novaire Carry-On Spinner,Rose Gold,19.8in H x 14.8in L x 9in W,7.2 lbs
Samsonite,Novaire Carry-On Spinner,Rose Gold,19.8in H x 14.8in L x 9in W,7.2 lbs
Samsonite,Novaire Carry-On Spinner,Sapphire Blue,19.8in H x 14.8in L x 9in W,7.2 lbs
Samsonite,Novaire Carry-On Spinner,Rose Gold,19.8in H x 14.8in L x 9in W,7.2 lbs
Samsonite,Theorym Global Carry-On Spinner,Dahlia Purple,20in H x 13.8in L x 8in W,6.6 lbs
Samsonite,Theorym Global Carry-On Spinner,Dahlia Purple,20in H x 13.8in L x 8in W,6.6 lbs
Samsonite,Silhouette 18 Softside Carry-On Spinner,Black,20.4in H x 14.1in L x 8in W,8.3 lbs
Samsonite,Silhouette 18 Softside Carry-On Spinner,Deep Navy,20.4in H x 14.1in L x 8in W,8.3 lbs
Samsonite,Silhouette 18 Softside Carry-On Spinner,Slate Blue,20.4in H x 14.1in L x 8in W,8.3 lbs
Samsonite,Silhouette 18 Softside Global Carry-On Spinner,Black,19.5in H x 13.4in L x 7.4in W,7.5 lbs
Samsonite,UpLIFT Hardside Carry-On,Elemental Blue,19.3in H x 13.6in L x 9.1in W,5.1 lbs
Samsonite,UpLIFT Hardside Carry-On,Silver Shimmer,19.3in H x 13.6in L x 9.1in W,5.1 lbs
Samsonite,UpLIFT Hardside Carry-On,Phantom Black,19.3in H x 13.6in L x 9.1in W,5.1 lbs
Samsonite,C-Lite Carry-On Spinner,Chili Red,19in H x 15.1in L x 7.4in W,4.5 lbs
Samsonite,C-Lite Carry-On Spinner,Off White,19in H x 15.1in L x 7.4in W,4.5 lbs
Samsonite,C-Lite Carry-On Spinner,Black,19in H x 15.1in L x 7.4in W,4.5 lbs
Samsonite,Mobile Solution Carry-On Spinner,Silver Shadow,19in H x 14in L x 10in W,6.5 lbs
Samsonite,Mobile Solution Carry-On Spinner,Black,19in H x 14in L x 10in W,6.5 lbs
Samsonite,Mobile Solution Carry-On Spinner,Navy Blue,19in H x 14in L x 10in W,6.5 lbs
Samsonite,Ecodiver Carry-On Wheeled Duffel,Black,21.6in H x 13.8in L x 9.1in W,5.3 lbs
Samsonite,Ecodiver Carry-On Wheeled Duffel,Blue Nights,21.6in H x 13.8in L x 9.1in W,5.3 lbs
Samsonite,Ecodiver Carry-On Wheeled Duffel,Yellow,21.6in H x 13.8in L x 9.1in W,5.3 lbs
Samsonite,Ecodiver Carry-On Wheeled Duffel,Climbing Ivy,21.6in H x 13.8in L x 9.1in W,5.3 lbs
Samsonite,Theorym Underseater,Dahlia Purple,16.3in H x 13.8in L x 7.8in W,5.1 lbs
Samsonite,Theorym Underseater,Emerald Teal,16.3in H x 13.8in L x 7.8in W,5.1 lbs
Samsonite,Theorym Underseater,Black,16.3in H x 13.8in L x 7.8in W,5.1 lbs
Samsonite,Elevation™ Plus Softside Global Carry-On Spinner,Midnight Blue,19.5in H x 13.3in L x 7.3in W,6.7 lbs
Samsonite,Essens Carry-On Spinner,Midnight Blue,19.5in H x 15in L x 7.5in W,6.2 lbs
Samsonite,Essens Carry-On Spinner,Graphite,19.5in H x 15in L x 7.5in W,6.2 lbs
Samsonite,Essens Carry-On Spinner,Graphite,19.5in H x 15in L x 7.5in W,6.2 lbs
Samsonite,Essens Carry-On Spinner,Radiant Yellow,19.5in H x 15in L x 7.5in W,6.2 lbs
Samsonite,Essens Carry-On Spinner,Alpine Green,19.5in H x 15in L x 7.5in W,6.2 lbs
Samsonite,Essens Carry-On Spinner,Graphite,19.5in H x 15in L x 7.5in W,6.2 lbs
Samsonite,Framelock Max Carry-On Spinner,Emerald Teal,19.7in H x 14.1in L x 8.6in W,7.2 lbs
Samsonite,Framelock Max Carry-On Spinner,Emerald Teal,19.7in H x 14.1in L x 8.6in W,7.2 lbs
Samsonite,Framelock Max Carry-On Spinner,Glacial Silver,19.7in H x 14.1in L x 8.6in W,7.2 lbs
Samsonite,Proxis Global Carry-On Spinner,Black,19in H x 13.1in L x 8.7in W,4.7 lbs
Samsonite,Proxis Global Carry-On Spinner,Petrol Blue,19in H x 13.1in L x 8.7in W,4.7 lbs
Samsonite,Proxis Global Carry-On Spinner,Honey Gold,19in H x 13.1in L x 8.7in W,4.7 lbs
Samsonite,Proxis Global Carry-On Spinner,Silver,19in H x 13.1in L x 8.7in W,4.7 lbs
Samsonite,Proxis Global Carry-On Spinner,Lime,19in H x 13.1in L x 8.7in W,4.7 lbs
Samsonite,Virtuosa Carry-On Spinner,Pine Green,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Virtuosa Carry-On Spinner,Navy,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Virtuosa Carry-On Spinner,Off White,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,NuRoad Carry-On Spinner,Navy/Gunmetal,20.3in H x 13.5in L x 9in W,8.3 lbs
Samsonite,NuRoad Carry-On Spinner,Navy/Gunmetal,20.3in H x 13.5in L x 9in W,8.3 lbs
Samsonite,Elevation™ Plus Hardside Carry-On Pro Spinner,Midnight Blue,20.5in H x 14.5in L x 10in W,9.4 lbs
Samsonite,Elevation™ Plus Hardside Carry-On Pro Spinner,Cypress Green,20.5in H x 14.5in L x 10in W,9.4 lbs
Samsonite,Elevation™ Plus Hardside Carry-On Pro Spinner,Triple Black,20.5in H x 14.5in L x 10in W,9.4 lbs
Samsonite,Elevation™ Plus Hardside Global Carry-On Spinner,Midnight Blue,20in H x 13.8in L x 9in W,8.5 lbs
Samsonite,Elevation™ Plus Hardside Global Carry-On Spinner,Triple Black,20in H x 13.8in L x 9in W,8.5 lbs
Samsonite,Elevation™ Plus Hardside Global Carry-On Spinner,Cypress Green,20in H x 13.8in L x 9in W,8.5 lbs
Samsonite,Virtuosa Wheeled Duffel,Pine Green,11in H x 21.3in L x 10in W,4 lbs
Samsonite,Virtuosa Wheeled Duffel,Navy,11in H x 21.3in L x 10in W,4 lbs
Samsonite,Virtuosa Wheeled Duffel,Navy,11in H x 21.3in L x 10in W,4 lbs
Samsonite,Elevation™ Plus Hardside Carry-On Spinner,Triple Black,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Elevation™ Plus Hardside Carry-On Spinner,Cypress Green,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,"Andante 2 22"" Wheeled Duffel",All Black,22in H x 12.5in L x 12in W,5.2 lbs
Samsonite,"Andante 2 22"" Wheeled Duffel",Riverrock/Black,22in H x 12.5in L x 12in W,5.2 lbs
Samsonite,"Andante 2 22"" Wheeled Duffel",All Black,22in H x 12.5in L x 12in W,5.2 lbs
Samsonite,"Andante 2 22"" Wheeled Duffel",Navy/Black,22in H x 12.5in L x 12in W,5.2 lbs
Samsonite,Elevation™ Plus Softside Carry-On Spinner,Cypress Green,21.3in H x 14.5in L x 8.5in W,8.2 lbs
Samsonite,Elevation™ Plus Softside Carry-On Spinner,Midnight Blue,21.3in H x 14.5in L x 8.5in W,8.2 lbs
Samsonite,Elevation™ Plus Softside Carry-On Spinner,Slate,21.3in H x 14.5in L x 8.5in W,8.2 lbs
Samsonite,Proxis ALU Carry-On Spinner,Aluminium,20in H x 14in L x 9in W,11.8 lbs
Samsonite,Outline Pro Carry-On Spinner,Midnight Blue,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Outline Pro Carry-On Spinner,Emerald Green,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Outline Pro Carry-On Spinner,Midnight Black,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Outline Pro Carry-On Spinner,Mars Red,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Outline Pro Carry-On Spinner,Stone Grey,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,Chili Red,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,Black,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,Blue,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,White,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,Blue,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Freeform Carry-On Spinner,White/Grey,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Freeform Carry-On Spinner,Navy,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Freeform Carry-On Spinner,Sky Blue,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Freeform Carry-On Spinner,Black,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Freeform Carry-On Spinner,White,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Freeform Carry-On Spinner,Amethyst Purple,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Outline Pro Global Carry-On Spinner,Midnight Black,20in H x 13.8in L x 9in W,6.1 lbs
Samsonite,Outline Pro Global Carry-On Spinner,Midnight Black,20in H x 13.8in L x 9in W,6.1 lbs
Samsonite,Outline Pro Global Carry-On Spinner,Midnight Black,20in H x 13.8in L x 9in W,6.1 lbs
Samsonite,Outline Pro Global Carry-On Spinner,Midnight Black,20in H x 13.8in L x 9in W,6.1 lbs
Samsonite,Outline Pro Global Carry-On Spinner,Midnight Black,20in H x 13.8in L x 9in W,6.1 lbs
Samsonite,Novaire Carry-On Spinner,Rose Gold,19.8in H x 14.8in L x 9in W,7.2 lbs
Samsonite,Novaire Carry-On Spinner,Silver,19.8in H x 14.8in L x 9in W,7.2 lbs
Samsonite,Novaire Carry-On Spinner,Black,19.8in H x 14.8in L x 9in W,7.2 lbs
Samsonite,Novaire Carry-On Spinner,Rose Gold,19.8in H x 14.8in L x 9in W,7.2 lbs
Samsonite,Novaire Carry-On Spinner,Rose Gold,19.8in H x 14.8in L x 9in W,7.2 lbs
Samsonite,Novaire Carry-On Spinner,Sapphire Blue,19.8in H x 14.8in L x 9in W,7.2 lbs
Samsonite,Novaire Carry-On Spinner,Rose Gold,19.8in H x 14.8in L x 9in W,7.2 lbs
Samsonite,Theorym Global Carry-On Spinner,Dahlia Purple,20in H x 13.8in L x 8in W,6.6 lbs
Samsonite,Theorym Global Carry-On Spinner,Dahlia Purple,20in H x 13.8in L x 8in W,6.6 lbs
Samsonite,Theorym Global Carry-On Spinner,Dahlia Purple,20in H x 13.8in L x 8in W,6.6 lbs
Samsonite,UpLIFT Softside Carry-On Spinner,Elemental Blue,20.3in H x 13.7in L x 7.8in W,5.9 lbs
Samsonite,UpLIFT Softside Carry-On Spinner,Black,20.3in H x 13.7in L x 7.8in W,5.9 lbs
Samsonite,Tru-Frame Carry-On Spinner,Mineral Teal,19in H x 14in L x 9.3in W,7.5 lbs
Samsonite,Tru-Frame Carry-On Spinner,Phantom Black,19in H x 14in L x 9.3in W,7.5 lbs
Samsonite,Tru-Frame Carry-On Spinner,Mineral Teal,19in H x 14in L x 9.3in W,7.5 lbs
Samsonite,Tru-Frame Carry-On Spinner,Mineral Teal,19in H x 14in L x 9.3in W,7.5 lbs
Samsonite,Silhouette 18 Hardside Carry-On Spinner,Black,20.6in H x 14.3in L x 10in W,9 lbs
Samsonite,Silhouette 18 Hardside Carry-On Spinner,Slate Blue,20.6in H x 14.3in L x 10in W,9 lbs
Samsonite,Silhouette 18 Hardside Carry-On Spinner,Metallic Silver,20.6in H x 14.3in L x 10in W,9 lbs
Samsonite,Silhouette 18 Hardside Carry-On Spinner,Deep Navy,20.6in H x 14.3in L x 10in W,9 lbs
Samsonite,Spinner Underseater with USB Port,Black,15in H x 13in L x 8in W,5.6 lbs
Samsonite,Spinner Underseater with USB Port,Ocean,15in H x 13in L x 8in W,5.6 lbs
Samsonite,Spinner Underseater with USB Port,Purple,15in H x 13in L x 8in W,5.6 lbs
Samsonite,Silhouette 18 Softside Carry-On Spinner,Black,20.4in H x 14.1in L x 8in W,8.3 lbs
Samsonite,Silhouette 18 Softside Carry-On Spinner,Deep Navy,20.4in H x 14.1in L x 8in W,8.3 lbs
Samsonite,Silhouette 18 Softside Carry-On Spinner,Slate Blue,20.4in H x 14.1in L x 8in W,8.3 lbs
Samsonite,Silhouette 18 Softside Global Carry-On Spinner,Black,19.5in H x 13.4in L x 7.4in W,7.5 lbs
Samsonite,UpLIFT Hardside Carry-On,Elemental Blue,19.3in H x 13.6in L x 9.1in W,5.1 lbs
Samsonite,UpLIFT Hardside Carry-On,Silver Shimmer,19.3in H x 13.6in L x 9.1in W,5.1 lbs
Samsonite,UpLIFT Hardside Carry-On,Phantom Black,19.3in H x 13.6in L x 9.1in W,5.1 lbs
Samsonite,C-Lite Carry-On Spinner,Chili Red,19in H x 15.1in L x 7.4in W,4.5 lbs
Samsonite,C-Lite Carry-On Spinner,Off White,19in H x 15.1in L x 7.4in W,4.5 lbs
Samsonite,C-Lite Carry-On Spinner,Black,19in H x 15.1in L x 7.4in W,4.5 lbs
Samsonite,Mobile Solution Carry-On Spinner,Silver Shadow,19in H x 14in L x 10in W,6.5 lbs
Samsonite,Mobile Solution Carry-On Spinner,Black,19in H x 14in L x 10in W,6.5 lbs
Samsonite,Mobile Solution Carry-On Spinner,Navy Blue,19in H x 14in L x 10in W,6.5 lbs
Samsonite,Ecodiver Carry-On Wheeled Duffel,Black,21.6in H x 13.8in L x 9.1in W,5.3 lbs
Samsonite,Ecodiver Carry-On Wheeled Duffel,Blue Nights,21.6in H x 13.8in L x 9.1in W,5.3 lbs
Samsonite,Ecodiver Carry-On Wheeled Duffel,Yellow,21.6in H x 13.8in L x 9.1in W,5.3 lbs
Samsonite,Ecodiver Carry-On Wheeled Duffel,Climbing Ivy,21.6in H x 13.8in L x 9.1in W,5.3 lbs
Samsonite,Theorym Underseater,Dahlia Purple,16.3in H x 13.8in L x 7.8in W,5.1 lbs
Samsonite,Theorym Underseater,Emerald Teal,16.3in H x 13.8in L x 7.8in W,5.1 lbs
Samsonite,Theorym Underseater,Black,16.3in H x 13.8in L x 7.8in W,5.1 lbs
Samsonite,Elevation™ Plus Softside Global Carry-On Spinner,Midnight Blue,19.5in H x 13.3in L x 7.3in W,6.7 lbs
Samsonite,Essens Carry-On Spinner,Midnight Blue,19.5in H x 15in L x 7.5in W,6.2 lbs
Samsonite,Essens Carry-On Spinner,Graphite,19.5in H x 15in L x 7.5in W,6.2 lbs
Samsonite,Essens Carry-On Spinner,Graphite,19.5in H x 15in L x 7.5in W,6.2 lbs
Samsonite,Essens Carry-On Spinner,Radiant Yellow,19.5in H x 15in L x 7.5in W,6.2 lbs
Samsonite,Essens Carry-On Spinner,Alpine Green,19.5in H x 15in L x 7.5in W,6.2 lbs
Samsonite,Essens Carry-On Spinner,Graphite,19.5in H x 15in L x 7.5in W,6.2 lbs
Samsonite,Framelock Max Carry-On Spinner,Emerald Teal,19.7in H x 14.1in L x 8.6in W,7.2 lbs
Samsonite,Framelock Max Carry-On Spinner,Emerald Teal,19.7in H x 14.1in L x 8.6in W,7.2 lbs
Samsonite,Framelock Max Carry-On Spinner,Glacial Silver,19.7in H x 14.1in L x 8.6in W,7.2 lbs
Samsonite,Proxis Global Carry-On Spinner,Black,19in H x 13.1in L x 8.7in W,4.7 lbs
Samsonite,Proxis Global Carry-On Spinner,Petrol Blue,19in H x 13.1in L x 8.7in W,4.7 lbs
Samsonite,Proxis Global Carry-On Spinner,Honey Gold,19in H x 13.1in L x 8.7in W,4.7 lbs
Samsonite,Proxis Global Carry-On Spinner,Silver,19in H x 13.1in L x 8.7in W,4.7 lbs
Samsonite,Proxis Global Carry-On Spinner,Lime,19in H x 13.1in L x 8.7in W,4.7 lbs
Samsonite,Virtuosa Carry-On Spinner,Pine Green,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Virtuosa Carry-On Spinner,Navy,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Virtuosa Carry-On Spinner,Off White,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,NuRoad Carry-On Spinner,Navy/Gunmetal,20.3in H x 13.5in L x 9in W,8.3 lbs
Samsonite,NuRoad Carry-On Spinner,Navy/Gunmetal,20.3in H x 13.5in L x 9in W,8.3 lbs
Samsonite,Elevation™ Plus Hardside Carry-On Pro Spinner,Midnight Blue,20.5in H x 14.5in L x 10in W,9.4 lbs
Samsonite,Elevation™ Plus Hardside Carry-On Pro Spinner,Cypress Green,20.5in H x 14.5in L x 10in W,9.4 lbs
Samsonite,Elevation™ Plus Hardside Carry-On Pro Spinner,Triple Black,20.5in H x 14.5in L x 10in W,9.4 lbs
Samsonite,Elevation™ Plus Hardside Global Carry-On Spinner,Midnight Blue,20in H x 13.8in L x 9in W,8.5 lbs
Samsonite,Elevation™ Plus Hardside Global Carry-On Spinner,Triple Black,20in H x 13.8in L x 9in W,8.5 lbs
Samsonite,Elevation™ Plus Hardside Global Carry-On Spinner,Cypress Green,20in H x 13.8in L x 9in W,8.5 lbs
Samsonite,Virtuosa Wheeled Duffel,Pine Green,11in H x 21.3in L x 10in W,4 lbs
Samsonite,Virtuosa Wheeled Duffel,Navy,11in H x 21.3in L x 10in W,4 lbs
Samsonite,Virtuosa Wheeled Duffel,Navy,11in H x 21.3in L x 10in W,4 lbs
Samsonite,Elevation™ Plus Hardside Carry-On Spinner,Triple Black,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Elevation™ Plus Hardside Carry-On Spinner,Cypress Green,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,"Andante 2 22"" Wheeled Duffel",All Black,22in H x 12.5in L x 12in W,5.2 lbs
Samsonite,"Andante 2 22"" Wheeled Duffel",Riverrock/Black,22in H x 12.5in L x 12in W,5.2 lbs
Samsonite,"Andante 2 22"" Wheeled Duffel",All Black,22in H x 12.5in L x 12in W,5.2 lbs
Samsonite,"Andante 2 22"" Wheeled Duffel",Navy/Black,22in H x 12.5in L x 12in W,5.2 lbs
Samsonite,Elevation™ Plus Softside Carry-On Spinner,Cypress Green,21.3in H x 14.5in L x 8.5in W,8.2 lbs
Samsonite,Elevation™ Plus Softside Carry-On Spinner,Midnight Blue,21.3in H x 14.5in L x 8.5in W,8.2 lbs
Samsonite,Elevation™ Plus Softside Carry-On Spinner,Slate,21.3in H x 14.5in L x 8.5in W,8.2 lbs
Samsonite,Proxis ALU Carry-On Spinner,Aluminium,20in H x 14in L x 9in W,11.8 lbs
